IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (us),Read Latency Max (us),Read Latency Avg (us),Read Latency Dev (us),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (us),Write Latency Max (us),Write Latency Avg (us),Write Latency Dev (us),CPU Usage: User,CPU Usage: System
read,4k,4,1,20G,30,libaio,4737714,1184428,0,795,2.961242,14.692853,0,0,0,0,0.000000,0.000000,11.751667%,88.010833%
read,4k,4,32,20G,30,libaio,4290346,1072586,1,476,106.320994,60.093427,0,0,0,0,0.000000,0.000000,10.891667%,88.882500%
read,4k,4,64,20G,30,libaio,4244082,1061020,2,697,217.423151,13.666946,0,0,0,0,0.000000,0.000000,10.851667%,88.935833%
read,4k,4,128,20G,30,libaio,4222303,1055575,2,975,439.434139,23.693434,0,0,0,0,0.000000,0.000000,10.752500%,89.030000%
read,32k,4,1,20G,30,libaio,5947880,185871,2,433,18.001344,38.144798,0,0,0,0,0.000000,0.000000,2.212500%,97.592500%
read,32k,4,32,20G,30,libaio,5724291,178884,5,1292,619.168385,32.203019,0,0,0,0,0.000000,0.000000,2.224167%,97.565833%
read,32k,4,64,20G,30,libaio,5328410,166512,6,2591,1430.834462,61.584142,0,0,0,0,0.000000,0.000000,2.349167%,97.432500%
read,32k,4,128,20G,30,libaio,4668924,145903,8,4332,3086.864658,117.412289,0,0,0,0,0.000000,0.000000,2.271667%,97.528333%
read,64k,4,1,20G,30,libaio,6017708,94026,5,418,35.336625,50.190100,0,0,0,0,0.000000,0.000000,1.342500%,98.464167%
read,64k,4,32,20G,30,libaio,5400931,84389,10,2258,1403.763359,64.980197,0,0,0,0,0.000000,0.000000,1.375833%,98.418333%
read,64k,4,64,20G,30,libaio,4817682,75276,13,4121,2981.361379,117.112009,0,0,0,0,0.000000,0.000000,1.272500%,98.540000%
read,64k,4,128,20G,30,libaio,4794950,74921,18,8202,6069.248340,208.545925,0,0,0,0,0.000000,0.000000,1.335000%,98.478333%
read,128k,4,1,20G,30,libaio,6079234,47494,11,425,70.045082,57.998656,0,0,0,0,0.000000,0.000000,0.940000%,98.791667%
read,128k,4,32,20G,30,libaio,5061181,39540,17,3955,2988.070186,108.500296,0,0,0,0,0.000000,0.000000,0.855833%,98.895000%
read,128k,4,64,20G,30,libaio,4806192,37548,35,7861,6021.542620,192.244493,0,0,0,0,0.000000,0.000000,0.859167%,98.912500%
read,128k,4,128,20G,30,libaio,4761483,37199,36,14969,12260.393682,447.696481,0,0,0,0,0.000000,0.000000,0.858333%,98.906667%
